event,layer,r,x,y,z,hbarcode
0,0,296.171,-111.645,-274.322,64.4515,10001
0,0,287.389,-110.197,-265.422,62.6265,10001
0,1,396.305,-128.471,-374.904,85.4366,10001
0,2,553.491,-156.178,-531,110.053,10001
0,3,560.045,-157.715,-537.38,111.537,10001
0,4,762.021,-196.64,-736.212,171.669,10001
0,5,768.85,-197.42,-743.072,170.848,10001
0,6,991.159,-244.864,-960.436,220.066,10001
0,7,997.827,-245.532,-967.147,221.697,10001
1,0,293.917,-22.0626,-293.088,141.604,10001
1,1,397.346,-37.6746,-395.556,159.359,10001
1,2,555.037,-62.2874,-551.531,208.294,10001
1,3,561.464,-63.5311,-557.858,209.315,10001
1,4,766.447,-95.7166,-760.447,270.152,10001
1,5,772.959,-96.9858,-766.85,268.401,10001
1,6,996.288,-132.311,-987.463,318.831,10001
1,7,1002.6,-134.324,-993.559,318.985,10001
2,0,293.253,-119.491,-267.805,167.005,10001
2,1,392.094,-145.699,-364.019,182.907,10001
2,2,565.436,-189.987,-532.563,209.547,10001
2,3,572.32,-191.446,-539.35,208.01,10001
2,4,753.276,-235.355,-715.565,220.144,10001
2,5,759.813,-237.288,-721.81,221.64,10001
2,6,998.444,-291.999,-954.792,269.504,10001
2,7,1005.17,-293.162,-961.466,269.023,10001
3,0,290.865,95.5552,-274.721,-43.8098,10001
3,1,391.31,108.624,-375.931,-13.4092,10001
3,2,559.306,133.224,-543.208,12.8674,10001
3,3,565.762,134.248,-549.603,36.927,10001
3,4,767.881,166.47,-749.619,74.2989,10001
3,5,774.409,167.463,-756.086,72.2517,10001
3,4,750.4,163.455,-732.381,72.0594,10001
3,5,756.857,164.638,-738.733,74.505,10001
3,6,995.222,207.666,-973.315,122.682,10001
3,7,1001.64,208.388,-979.718,123.12,10001
4,0,290.865,-262.295,-125.713,127.662,10001
4,1,390.199,-344.578,-183.088,158.421,10001
4,2,556.235,-480.592,-280.051,208.467,10001
4,3,562.937,-485.938,-284.187,209.103,10001
4,4,768.231,-652.176,-406.012,270.334,10001
4,5,775.11,-657.556,-410.384,268.181,10001
4,4,750.233,-637.746,-395.134,268.03,10001
4,5,756.891,-642.812,-399.595,270.499,10001
4,6,999.045,-836.316,-546.504,319.198,10001
4,7,1005.6,-841.809,-550.075,318.584,10001
5,0,295.684,241.311,-170.876,201.505,10001
5,0,287.391,234.253,-166.49,199.046,10001
5,1,392.325,323.363,-222.161,232.556,10001
5,2,554.39,460.542,-308.625,280.771,10001
5,2,554.479,460.906,-308.242,280.785,9223372036854775807
5,2,555.169,463.659,-305.34,280.889,9223372036854775807
5,3,560.96,466.186,-312.005,281.967,10001
5,4,764.572,637.983,-421.365,319.569,10001
5,5,771.239,643.665,-424.86,366.583,10001
5,6,993.829,829.728,-547.034,416.48,10001
5,7,1000.43,835.494,-550.285,417.295,10001
6,0,288.173,-194.803,212.356,-66.9932,10001
6,1,389.681,-252.229,297.038,-37.8691,10001
6,2,555.423,-347.871,432.99,-13.2737,10001
6,3,561.955,-351.995,438.056,-12.3826,10001
6,4,767.22,-472.853,604.183,25.8482,10001
6,5,773.953,-477.292,609.258,23.9148,10001
6,5,756.53,-466.916,595.254,26.1799,10001
6,6,998.129,-613.217,787.545,73.4628,10001
6,7,1004.87,-618.085,792.292,73.0624,10001
7,0,294.366,12.444,-294.103,-4.6755,10001
7,1,389.128,8.07635,-389.044,11.8448,10001
7,2,569.51,-1.59587,-569.508,38.1321,10001
7,3,576.068,-2.06817,-576.064,35.8396,10001
