event,layer,r,x,y,z,hbarcode
0,0,291.515,274.477,98.2023,158.279,10001
0,1,398.746,372.113,143.284,183.698,10001
0,2,558.485,516.394,212.702,208.765,10001
0,3,565.125,522.39,215.579,208.814,10001
0,4,761.679,698.472,303.797,269.63,10001
0,5,768.61,704.239,307.91,268.876,10001
0,6,1004.58,913.363,418.271,319.87,10001
0,7,1011.56,919.017,422.682,317.864,10001
1,1,395.205,335.792,208.4,159.118,10001
1,2,552.401,488.301,258.281,182.441,10001
1,3,558.656,494.58,259.783,184.351,10001
1,4,765.916,695.203,321.434,221.713,10001
1,5,772.219,701.456,322.926,220.095,10001
1,6,997.361,920.205,384.645,269.361,10001
1,7,1003.76,926.396,386.417,269.21,10001
2,1,404.537,324.094,242.102,86.2374,10001
2,2,561.946,471.497,305.734,111.176,10001
2,3,568.284,477.414,308.257,134.631,10001
2,4,762.868,658.549,385.073,171.765,9223372036854775807
2,4,763.29,658.022,386.805,171.812,9223372036854775807
2,4,763.93,657.231,389.405,171.883,9223372036854775807
2,4,767.978,652.462,405.073,172.309,9223372036854775807
2,4,769.834,650.396,411.86,172.493,9223372036854775807
2,5,768.954,664.896,386.268,170.837,9223372036854775807
2,5,769.3,664.457,387.712,170.797,9223372036854775807
2,5,769.545,664.149,388.722,170.77,9223372036854775807
2,5,769.773,663.863,389.661,170.744,9223372036854775807
2,5,770.002,663.578,390.6,170.719,9223372036854775807
2,5,770.304,663.204,391.827,170.686,9223372036854775807
2,5,774.603,658.128,408.506,170.232,9223372036854775807
2,5,775.582,657.029,412.117,170.134,9223372036854775807
2,4,764.175,656.93,390.391,221.526,9223372036854775807
2,4,765.934,654.821,397.323,221.715,9223372036854775807
2,5,769.359,664.383,387.953,220.407,9223372036854775807
2,5,770.008,663.57,390.624,220.335,9223372036854775807
2,5,770.346,663.153,391.996,220.298,9223372036854775807
2,5,770.471,662.999,392.502,220.284,9223372036854775807
2,5,772.33,660.757,399.866,220.084,9223372036854775807
2,5,757.343,641.615,402.367,172.421,9223372036854775807
2,6,1000.6,878.621,478.771,221.395,10001
2,7,1007.1,884.469,481.633,220.394,10001
3,2,554.031,436.868,340.73,60.5233,10001
3,3,560.442,442.282,344.213,61.856,10001
3,4,758.763,618.695,439.247,122.896,10001
3,5,765.299,624.1,442.925,122.888,10001
3,6,1001.53,831.936,557.623,171.893,10001
