event,layer,r,x,y,z,hbarcode
0,4,753.186,672.556,339.054,-74.0693,10001
0,5,759.53,678.668,341.02,-72.5167,10001
0,6,990.274,894.733,424.377,-25.8972,10001
0,7,996.695,900.746,426.682,-23.9325,10001
1,1,398.9,330.702,223.064,183.713,10001
1,2,559.51,475.133,295.466,233.084,10001
1,3,565.874,481.042,298.012,232.913,10001
1,4,763.39,657.897,387.214,319.44,10001
1,4,764.518,656.513,391.763,319.564,9223372036854775807
1,4,765.083,655.832,394.001,319.624,9223372036854775807
1,5,770.115,663.438,391.058,318.323,10001
1,6,1005.03,872.868,498.19,368.305,10001
1,7,1011.49,878.774,500.857,366.256,10001
2,2,569.873,403.219,402.702,-60.0345,10001
2,3,575.751,409.341,404.881,-62.331,10001
2,4,752.82,581.321,478.334,-25.7422,10001
2,5,759.07,587.131,481.108,-24.062,10001
2,6,1005.78,824.937,575.39,-23.8108,10001
2,6,989.631,809.334,569.516,-26.0071,10001
2,7,995.728,815.832,570.871,-23.7657,10001
3,1,399.056,330.504,223.635,183.729,10001
3,2,556.945,479.341,283.585,232.756,10001
3,3,563.4,485.124,286.487,233.231,10001
3,4,756.639,667.054,357.13,269.005,10001
3,5,762.888,673.269,358.758,269.584,10001
3,6,992.766,890.36,439.139,366.703,10001
3,7,999.268,896.223,441.951,367.853,10001
4,0,291.36,261.882,127.704,124.879,10001
4,1,408.736,368.392,177.068,160.39,10001
4,1,388.114,349.677,168.4,158.017,10001
4,3,572.106,516.902,245.189,208.031,10001
4,4,766.334,694.896,323.091,270.14,10001
4,5,773.185,700.745,326.759,268.377,10001
4,6,1004.27,913.634,416.94,319.834,10001
4,7,1010.93,919.574,419.946,317.936,10001
5,4,758.115,567.187,503.028,73.1978,10001
5,5,764.503,572.509,506.654,73.3725,10001
5,6,999.305,784.93,618.463,123.232,10001
5,7,1005.87,790.058,622.566,122.549,10001
6,3,557.451,557.447,-1.92078,160.392,10001
6,4,753.541,746.882,99.9581,170.568,10001
6,5,760.504,753.447,103.364,171.92,10001
6,6,999.106,972.787,227.811,221.206,10001
6,7,1006.21,979.1,232.003,220.506,10001
7,0,289.646,275.207,90.311,-119.253,10001
7,1,397.708,372.568,139.157,-110.61,10001
7,2,558.053,516.779,210.624,-85.4896,10001
7,3,564.707,522.762,213.576,-85.3326,10001
7,4,760.933,699.082,300.506,-73.0408,10001
7,5,767.417,705.211,302.666,-73.5688,10001
7,6,1001.61,916.052,405.057,-24.2976,10001
7,7,1008.25,922.002,408.013,-25.5636,10001
8,2,568.294,405.92,397.728,136.018,10001
8,3,574.444,411.61,400.703,133.993,10001
8,5,776.638,605.169,486.762,170.03,10001
8,4,752.555,582.109,476.958,170.417,10001
8,5,758.71,588.218,479.208,172.195,10001
8,6,991.272,804.619,578.972,268.468,10001
8,7,997.774,809.904,582.759,270.089,10001
9,2,565.134,467.13,318.067,257.899,10001
9,3,571.37,473.148,320.304,256.49,10001
9,4,762.775,658.667,384.687,319.371,10001
9,5,769.359,664.383,387.953,318.407,10001
9,5,769.411,664.317,388.169,318.402,9223372036854775807
9,5,771.1,662.23,395.029,318.215,9223372036854775807
9,6,997.655,882.75,464.829,367.4,10001
9,7,1004.27,888.442,468.22,367.141,10001
10,0,293.827,283.921,75.6514,222.68,10001
