event,layer,r,x,y,z,hbarcode
0,0,286.986,283.324,45.6991,-101.711,200003
0,0,290.041,283.623,60.6794,-98.6525,1074
0,0,290.174,283.634,61.2593,-124.858,9223372036854775807
0,0,291.831,283.771,68.1113,-101.511,473
0,0,293.586,283.904,74.7766,-120.652,1150
0,0,295.455,284.035,81.3503,-119.777,9223372036854775807
0,0,287.534,283.383,48.6818,-53.2765,384
0,0,288.012,283.433,51.1563,-72.9265,954
0,0,289.829,283.604,59.7463,-47.4932,9223372036854775807
0,0,292.978,283.859,72.527,-77.3015,1464
0,0,292.985,283.86,72.552,-44.2265,1256
0,0,286.992,283.324,45.7324,-31.2255,1156
0,0,289.228,283.55,57.0301,-21.0755,9223372036854775807
0,0,289.524,283.577,58.3799,-2.7755,9223372036854775807
0,0,289.543,283.579,58.4673,-16.663,9223372036854775807
0,0,289.539,283.578,58.4465,-2.80883,9223372036854775807
0,0,289.551,283.579,58.5048,-16.6755,9223372036854775807
0,0,289.546,283.579,58.4798,-2.8255,9223372036854775807
0,0,289.581,283.582,58.6381,-26.2088,9223372036854775807
0,0,289.557,283.58,58.5298,-16.6755,9223372036854775807
0,0,289.586,283.582,58.6598,-26.2055,9223372036854775807
0,0,289.772,283.599,59.4921,-35.138,9223372036854775807
0,0,289.944,283.614,60.2545,-36.8505,9223372036854775807
0,0,290.497,283.662,62.6457,-20.9422,9223372036854775807
0,0,290.635,283.674,63.2289,-15.0505,9223372036854775807
0,0,295.618,284.046,81.9002,-37.3255,64
0,0,287.639,283.394,49.2317,8.0005,901
0,0,288.823,283.512,55.1305,12.2755,9223372036854775807
0,0,289.015,283.53,56.0375,2.60407,200010
0,0,289.021,283.531,56.066,2.56836,9223372036854775807
0,0,289.024,283.531,56.0803,2.4755,9223372036854775807
0,0,289.029,283.531,56.1053,2.6255,200010
0,0,289.061,283.534,56.2553,22.2255,200041
0,0,289.497,283.574,58.2599,13.1055,9223372036854775807
0,0,289.504,283.575,58.2924,26.463,9223372036854775807
0,0,289.505,283.575,58.2965,13.0922,9223372036854775807
0,0,289.509,283.576,58.3132,26.4588,9223372036854775807
0,0,289.513,283.576,58.3299,13.0755,9223372036854775807
0,0,289.513,283.576,58.3299,26.4505,9223372036854775807
0,0,290.821,283.689,64.0121,28.9422,487
0,0,291.106,283.713,65.1885,18.0655,9223372036854775807
0,0,291.82,283.77,68.0679,34.4555,92
0,0,292.687,283.837,71.4273,20.4755,352
