event layer r x y z hbarcode barcode charge pt d0
0 0 286.977 283.323 45.6491 -94.0608 1096 10001 -1 10000 -0.0133555
0 0 288.531 283.484 53.7308 -93.6275 9223372036854775807 10001 -1 10000 -0.0133555
0 0 288.746 283.505 54.7681 -104.027 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.609 283.585 58.7619 -116.535 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.612 283.585 58.7752 -116.468 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.612 283.585 58.7756 -116.498 9223372036854775807 10001 -1 10000 -0.0133555
0 0 291.983 283.783 68.7111 -88.0442 9223372036854775807 10001 -1 10000 -0.0133555
0 0 292.991 283.86 72.577 -87.3775 9223372036854775807 10001 -1 10000 -0.0133555
0 0 293.027 283.863 72.7103 -95.5942 200356 10001 -1 10000 -0.0133555
0 0 294.508 283.97 78.0759 -111.177 200070 10001 -1 10000 -0.0133555
0 0 288.007 283.432 51.1313 -81.2015 127 10001 -1 10000 -0.0133555
0 0 290.706 283.68 63.5288 -60.9765 9223372036854775807 10001 -1 10000 -0.0133555
0 0 290.913 283.697 64.3912 -61.864 9223372036854775807 10001 -1 10000 -0.0133555
0 0 292.074 283.79 69.0677 -57.7865 9223372036854775807 10001 -1 10000 -0.0133555
0 0 295.647 284.048 82.0002 -55.3265 200768 10001 -1 10000 -0.0133555
0 0 287.139 283.341 46.5489 -21.5588 110 10001 -1 10000 -0.0133555
0 0 289.524 283.577 58.3799 -27.5255 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.546 283.579 58.4798 -27.6005 9223372036854775807 10001 -1 10000 -0.0133555
0 0 290.283 283.644 61.7292 -24.6505 9223372036854775807 10001 -1 10000 -0.0133555
0 0 290.994 283.704 64.7286 -9.6755 933 10001 -1 10000 -0.0133555
0 0 292.141 283.795 69.3277 -29.1255 9223372036854775807 10001 -1 10000 -0.0133555
0 0 292.938 283.856 72.3771 -4.9755 9223372036854775807 10001 -1 10000 -0.0133555
0 0 294.008 283.934 76.3013 -12.0755 9223372036854775807 10001 -1 10000 -0.0133555
0 0 288.082 283.44 51.5062 26.1255 9223372036854775807 10001 -1 10000 -0.0133555
0 0 288.875 283.517 55.3805 31.1255 9223372036854775807 10001 -1 10000 -0.0133555
0 0 289.97 283.617 60.3683 3.9255 9223372036854775807 10001 -1 10000 -0.0133555
0 0 292.141 283.795 69.3277 15.8755 9223372036854775807 10001 -1 10000 -0.0133555
0 0 293.338 283.886 73.8643 8.613 435 10001 -1 10000 -0.0133555
0 0 295.294 284.024 80.8004 24.0255 915 10001 -1 10000 -0.0133555
0 0 296.231 284.087 83.9498 14.6255 154 10001 -1 10000 -0.0133555
0 0 287.677 283.398 49.4316 58.1265 1671 10001 -1 10000 -0.0133555
0 0 288.485 283.48 53.5058 59.0265 200308 10001 -1 10000 -0.0133555
0 0 290.053 283.624 60.7294 46.089 9223372036854775807 10001 -1 10000 -0.0133555
