event,barcode,charge,pt,d0,phi
0,10001,1,7069.83,-69.7938,-1.70695
1,10001,1,39984.2,22.1621,-1.7192
2,10001,-1,9631.28,-41.6322,-1.857
3,10001,-1,6485.64,64.0118,-1.47099
4,10001,-1,8089.04,-43.0435,-2.55658
5,10001,1,16384.5,-19.4177,-0.545166
6,10001,-1,5900.02,46.6392,2.13626
7,10001,1,8743.43,21.7374,-1.59265
8,10001,1,5582.92,-16.3147,-0.744541
9,10001,-1,11575.1,-3.48681,-3.00624
10,10001,1,53768.4,-81.0604,-1.93897
11,10001,-1,12398.7,-39.9289,1.65935
12,10001,1,12025.2,-0.849461,0.737922
13,10001,-1,42832.7,-50.8472,1.73535
14,10001,-1,5969.06,13.8525,0.515889
15,10001,1,15024.2,-91.9944,-1.00414
16,10001,-1,5616.22,-67.1094,-2.4391
17,10001,1,85701.8,-15.7143,2.09703
18,10001,1,8243.41,77.8694,2.04476
19,10001,1,9214.77,86.1992,2.53699
20,10001,1,5232.41,-93.9479,-1.42281
21,10001,1,13290.8,91.1654,2.99139
22,10001,1,7864.6,-74.2604,1.93039
23,10001,-1,36110.2,-94.2286,0.268773
24,10001,-1,23603,37.0295,2.79067
25,10001,-1,10957.6,83.4241,0.71048
26,10001,1,6154.93,-49.9286,-2.6546
27,10001,1,5473.71,23.619,-0.333363
28,10001,-1,5972.1,-72.7186,0.773034
29,10001,1,7147.9,-13.1646,1.686
30,10001,1,59138.2,86.3232,-0.670966
31,10001,1,10239.9,-98.4514,-2.31634
32,10001,-1,5680.87,-60.0834,-2.12031
33,10001,-1,5590.55,8.80399,-0.689852
34,10001,-1,18378.2,93.4245,2.48396
35,10001,1,5602.66,2.84537,-1.19394
36,10001,-1,26578.1,53.5179,0.453867
37,10001,1,40153.9,97.6982,-0.740809
38,10001,1,7945.94,-58.1754,-1.65684
39,10001,-1,7277.81,-68.395,-1.29999
40,10001,1,6401.18,-23.2577,1.15408
41,10001,-1,13408.1,-33.0097,-0.45519
42,10001,1,6041.06,-26.6998,-0.0195682
43,10001,1,64935.8,-75.4742,0.646587
44,10001,-1,7098.23,31.9029,1.34692
45,10001,-1,22334.4,90.4649,-2.41557
46,10001,1,12804.6,-80.9411,-1.64505
47,10001,1,7450.67,61.8482,2.00805
48,10001,-1,34293.1,94.1184,-0.855983
49,10001,-1,9268.52,-79.8697,2.13921
50,10001,-1,19411.2,14.6158,1.61369
51,10001,1,8605.26,-80.5025,-0.0322727
52,10001,1,8290.04,-15.9504,1.10834
53,10001,-1,9808.13,-64.0168,-3.10455
54,10001,-1,5191.52,-39.5293,0.0541973
55,10001,1,29738.9,-27.5799,-2.83165
56,10001,-1,13218.6,67.7896,1.31271
57,10001,1,458779,84.4968,-0.121538
58,10001,1,7531.19,-54.3773,-1.52478
59,10001,-1,5205.52,26.658,2.55936
60,10001,1,19648.3,-17.4164,2.28538
61,10001,-1,5344.59,-23.9898,-2.65368
62,10001,1,8527.31,76.6263,0.416488
63,10001,1,7568.04,62.1363,0.795349
64,10001,1,5411.25,-9.766,0.199282
65,10001,1,19053.8,-47.2933,0.112596
66,10001,1,25275,-18.2153,-0.252497
67,10001,1,12509.9,81.3219,-2.85216
68,10001,-1,12996.4,94.0355,-0.664843
69,10001,-1,7358.39,59.1271,3.10742
70,10001,-1,19864.1,81.7051,0.840568
71,10001,-1,9401.39,-14.6828,-1.25386
72,10001,1,8410.12,-44.7549,-0.969369
73,10001,-1,6308.43,-49.5662,2.53939
74,10001,-1,21887.2,89.3717,-1.07001
75,10001,1,6059.28,-47.5617,0.907012
76,10001,1,10292.4,1.59061,0.456524
77,10001,-1,12166.4,-48.9967,-2.84967
78,10001,-1,19009.5,90.3011,1.31677
79,10001,1,5169.46,20.0629,-1.96889
80,10001,-1,18268.9,90.4128,-0.0384614
81,10001,1,7869.68,-10.485,-0.552064
82,10001,1,16587.1,-84.2576,1.58854
83,10001,1,49542.9,-90.6541,-1.71922
84,10001,-1,14327.2,-53.234,1.68012
85,10001,-1,7944.82,-62.2778,2.91795
86,10001,1,8251.77,-55.4644,-0.127168
87,10001,-1,28555.1,-56.0839,0.141572
88,10001,1,5181.59,35.8502,2.11406
89,10001,-1,10324.2,-47.5952,0.658161
90,10001,1,12165.3,-0.475846,0.944881
91,10001,1,15994.5,57.5752,0.655023
92,10001,-1,7351.77,-18.7611,-2.53719
93,10001,-1,33971.8,24.7425,-2.49926
94,10001,1,180651,13.0403,-0.151891
95,10001,-1,5559.54,-10.9095,0.209698
96,10001,1,8690.98,37.9886,-1.73458
97,10001,1,18891.5,-81.4737,1.90398
98,10001,1,9658.02,91.6021,-3.07448
99,10001,1,20464.3,23.7375,-1.98644
100,10001,-1,7166.05,43.0935,1.4564
101,10001,1,5574.57,62.9007,1.76473
102,10001,-1,45769.9,81.3251,1.03553
103,10001,1,8835.41,37.7027,0.888933
104,10001,1,7139.09,-81.5586,-0.510466
105,10001,1,6503.41,-93.4773,2.68382
106,10001,-1,7813.48,-15.8608,2.74078
107,10001,-1,8366.56,62.538,-2.66158
108,10001,1,19426.7,-2.51631,-1.0302
109,10001,-1,5515.59,46.2249,-2.32473
110,10001,-1,10252.2,74.7204,-2.23064
111,10001,1,9986.44,79.1655,2.39706
112,10001,1,6785.34,-11.9456,-0.931589
113,10001,1,5914.37,-79.4719,1.23529
114,10001,1,7114.11,-49.8427,-2.27429
115,10001,1,15944.2,16.2473,-2.32227
116,10001,1,5213.22,-61.833,1.00052
117,10001,-1,13555.2,-0.457945,-2.70918
118,10001,1,9133.56,-84.8101,-0.311056
119,10001,-1,26175.2,-84.4013,-3.11189
120,10001,-1,15359.3,-64.8653,-0.483837
121,10001,-1,6153.61,63.1205,-1.16173
122,10001,-1,6302.9,13.9455,-0.820972
123,10001,-1,24910.4,-4.85165,-2.42331
124,10001,-1,5943.39,-79.405,3.02676
125,10001,1,6658.92,97.5392,2.22132
126,10001,-1,8830.62,-97.3236,0.406919
127,10001,1,10743.6,7.75336,3.09402
128,10001,-1,5954.95,10.6452,-3.12519
129,10001,-1,16902.8,-5.49472,2.37754
130,10001,-1,9131.15,-86.2028,2.52502
131,10001,1,33172.4,89.6547,-2.98423
132,10001,-1,6115.69,59.5941,0.905556
133,10001,-1,122119,-8.72582,0.760859
134,10001,-1,22387.5,-38.0322,-1.53285
135,10001,-1,44072.9,75.3983,-1.87253
136,10001,1,34685.9,27.0851,1.50965
137,10001,1,6071.92,-0.384186,2.25647
138,10001,1,6083.79,26.843,0.906863
139,10001,1,8833.15,-38.9649,0.615568
140,10001,1,9398.04,92.7855,-1.56519
141,10001,1,34319.3,46.5359,0.119557
142,10001,1,9390.42,15.9455,0.996024
143,10001,-1,53898.1,-33.5967,2.34565
144,10001,-1,5848.08,-84.8147,-1.89458
145,10001,-1,59371.9,-98.0688,2.99479
146,10001,1,11829.8,91.6408,-2.97388
147,10001,1,11449.9,-45.2893,-1.13817
148,10001,1,33982.6,-42.5095,-0.629475
149,10001,1,8285.75,-48.3763,-2.86254
150,10001,1,6364.57,-45.2854,1.81569
151,10001,-1,7075.76,37.1472,1.1435
152,10001,1,85572.6,34.5713,0.765776
153,10001,1,33218,-94.9013,-1.1397
154,10001,1,8233.49,-72.4333,0.203474
155,10001,-1,9124.61,47.0592,1.30545
156,10001,-1,6643.27,69.8791,0.082812
157,10001,-1,20332.5,43.7349,-3.11132
158,10001,-1,13419.2,-1.85047,-0.295814
159,10001,-1,8764.45,84.6019,-1.01336
160,10001,-1,11987.3,-40.8099,2.68694
161,10001,-1,9005.48,-45.9049,-0.112689
162,10001,-1,8456.71,41.1716,-1.98417
163,10001,-1,14166.5,24.0882,-0.22821
164,10001,1,5652.76,56.2649,-1.13375
165,10001,-1,194993,-46.1006,3.0084
166,10001,-1,94613.8,-52.5487,-0.852562
167,10001,1,10256.1,75.9116,1.89518
168,10001,-1,18860.7,63.8112,-1.5023
169,10001,-1,5797.34,-41.598,1.84337
170,10001,1,63953.2,-95.221,1.73513
171,10001,-1,16067.8,69.5961,-1.56337
172,10001,-1,9044.63,-21.5811,-2.75652
173,10001,-1,5729.13,-58.6081,-2.717
174,10001,-1,5218.97,5.87321,2.42675
175,10001,-1,546995,4.77794,1.90013
176,10001,-1,7945.83,43.4213,1.24602
177,10001,1,7287.48,1.71952,-1.95408
178,10001,1,6387.09,-49.1369,-1.0974
179,10001,1,19289.8,80.1828,1.06002
180,10001,-1,7203.91,-44.3703,-2.68581
181,10001,-1,6414.82,-19.0246,0.1912
182,10001,-1,13613.4,-67.3796,-1.06054
183,10001,-1,13722.1,26.233,-0.283971
184,10001,-1,8792.51,99.8929,-1.12857
185,10001,1,5096.08,-27.7928,2.3025
186,10001,-1,10979.6,-50.2905,1.28845
187,10001,-1,19156,73.9206,2.71143
188,10001,-1,30606.7,-7.11472,2.87603
189,10001,-1,27647.2,-99.9888,2.07973
190,10001,-1,7227.42,-29.6525,1.2825
191,10001,-1,587672,58.3645,-1.71305
192,10001,1,9875.36,0.876743,-0.106816
193,10001,-1,23592.5,-23.7849,-1.41227
194,10001,1,31519.7,40.728,1.89385
195,10001,1,9262.75,-67.2676,-3.02636
196,10001,-1,7854.85,25.1882,-0.546386
197,10001,-1,11996.2,24.6688,2.01774
198,10001,-1,11326,-13.4135,2.16801
199,10001,1,11375.4,78.1232,0.647108
200,10001,1,10905.2,-1.58565,0.524308
201,10001,1,5198.52,-43.5343,-2.72219
202,10001,-1,6630.08,-45.1731,2.61785
203,10001,-1,11356.6,-18.269,-2.28932
204,10001,1,5137.25,20.6724,-0.178109
205,10001,1,6231.23,-47.0985,-2.68923
206,10001,-1,27325.8,38.0916,-2.7866
207,10001,-1,5793.58,52.5572,2.30098
208,10001,1,18023.1,-74.7683,-1.94087
209,10001,1,6582.03,-80.9203,1.15171
210,10001,1,23777.8,-42.3681,0.770465
211,10001,-1,35290.2,-6.54106,-0.916497
212,10001,-1,9994.93,-3.38603,-0.811135
213,10001,1,5109.05,75.7194,3.08822
214,10001,-1,5053.46,66.4159,-0.485008
215,10001,1,9909.76,-62.0594,1.63544
216,10001,-1,8845.05,-78.1819,-1.91869
217,10001,1,24900.5,-13.2413,0.179972
218,10001,1,288175,88.8836,-1.4677
219,10001,-1,19872.5,3.44832,2.19936
220,10001,-1,6415.28,10.3473,0.483739
221,10001,-1,11359.1,-47.5378,-3.07566
222,10001,1,76216.6,-20.064,-1.60125
223,10001,1,5177.05,-38.179,-0.438558
224,10001,-1,5480.32,95.9404,0.288277
225,10001,-1,5273.95,-3.41619,-2.55004
226,10001,1,55108,-45.6498,2.55596
227,10001,-1,7481.5,20.0697,2.321
228,10001,-1,6480.79,-86.1897,-1.76046
229,10001,-1,6910.02,1.02952,0.44943
230,10001,-1,15102.9,-97.3363,-0.882555
231,10001,1,10699.9,-84.129,2.22561
232,10001,-1,22434.8,-94.3814,-0.560147
233,10001,1,50869.2,-68.5839,-2.36545
234,10001,1,81376.1,86.2237,2.55038
235,10001,-1,6355.16,41.0007,-0.721392
236,10001,-1,7891.98,-35.0662,2.58113
237,10001,1,10718.9,-49.2514,-2.55345
238,10001,-1,5854.78,61.008,-0.620789
239,10001,-1,10108.8,-92.4697,-0.771967
240,10001,-1,9953.94,-88.1332,-2.33688
241,10001,-1,12106.3,39.6702,-2.51151
242,10001,1,9390.32,-66.3771,2.42383
243,10001,-1,6123.43,-92.9854,2.34455
244,10001,1,10067.1,77.6027,-1.21575
245,10001,1,5157.47,6.96602,2.8951
246,10001,-1,13268.5,-77.1648,1.10714
247,10001,-1,14911.3,-50.9472,-0.533192
248,10001,1,11020.7,-89.1053,-0.509607
249,10001,-1,13491.7,72.8031,0.722848
250,10001,-1,7930.02,-95.8341,-0.86572
251,10001,-1,25194,60.1422,-0.282328
252,10001,1,9822.1,-30.5969,-1.33587
253,10001,1,6175.17,-22.8885,-2.14921
254,10001,-1,7494.34,-71.0432,-0.046878
255,10001,-1,10482.4,-14.9094,-2.32806
256,10001,-1,13432.6,57.3285,2.35476
257,10001,-1,5232.98,60.5401,-2.83015
258,10001,-1,19123.3,-40.8486,-0.712509
259,10001,-1,5915.68,-6.07928,-2.96849
260,10001,-1,31451.5,-82.7689,1.76856
261,10001,1,30199.3,-16.9141,2.41575
262,10001,1,7831.32,88.3935,-0.0332382
263,10001,-1,37690.5,-28.4364,2.21007
264,10001,-1,7927.69,-38.9056,-0.580599
265,10001,-1,7751.44,-78.8084,-1.73328
266,10001,-1,6278.82,68.2388,2.05457
267,10001,1,8300.41,-22.9848,-1.30415
268,10001,1,12526.1,87.2839,1.21939
269,10001,-1,27903,57.0694,2.42397
270,10001,1,5141.54,56.8297,2.87637
271,10001,-1,5142.28,89.7685,0.674364
272,10001,-1,26857.7,27.7575,-0.231858
273,10001,-1,8293.08,9.12157,1.67117
274,10001,-1,8051.71,-42.5536,2.20378
275,10001,1,8692.9,86.1572,0.420188
276,10001,-1,7031.97,12.0197,0.707177
277,10001,-1,6089.16,-86.9402,-2.18043
278,10001,1,14355.9,42.3228,1.723
279,10001,-1,12726.2,94.4696,1.91611
280,10001,-1,7150.61,84.4163,0.360819
281,10001,-1,6842.56,-26.2063,-1.05968
282,10001,1,5567.48,-92.7881,1.99504
283,10001,1,24622.5,-69.9337,-0.483682
284,10001,1,11187.2,-40.7671,-2.76923
285,10001,1,6475.09,-10.0468,-3.13258
286,10001,1,664737,-99.052,-1.18897
287,10001,-1,7973.91,37.9862,2.29322
288,10001,-1,27459.7,-42.4967,2.90944
289,10001,-1,29016.7,-71.8532,-2.78057
290,10001,1,12888.9,35.0926,0.887898
291,10001,1,9439.97,-41.6634,1.948
292,10001,1,27946.1,5.73736,2.40027
293,10001,1,5775.69,9.02769,-1.71655
294,10001,-1,24169.4,23.6983,-0.931899
295,10001,1,10624.2,-75.4192,-2.43852
296,10001,-1,5674.31,6.38828,3.00676
297,10001,1,6189.19,29.8045,-2.57551
298,10001,1,10523.2,-98.5561,0.746773
299,10001,-1,5586.03,-77.4667,-1.4658
300,10001,-1,21251.5,-46.3149,1.12823
301,10001,-1,159569,39.8637,-3.0097
302,10001,-1,11147,96.5161,1.21719
303,10001,-1,5283.55,-56.9795,0.520473
304,10001,-1,42480.6,61.7095,0.505679
305,10001,1,12364.3,66.5932,2.86937
