event,barcode,charge,pt,d0
0,10001,-1,31263.5,81.9689
1,10001,-1,26578.1,53.5179
2,10001,1,5214.29,189.643
3,10001,1,8527.31,76.6263
4,10001,1,10292.4,1.59061
5,10001,-1,6878.67,209.774
6,10001,-1,6361.69,-249.568
7,10001,1,24756.2,-43.7695
8,10001,-1,10036.4,209.539
9,10001,-1,20825.1,151.862
10,10001,-1,6174.31,-60.8315
11,10001,1,14356.8,239.624
12,10001,-1,61977.4,-256.184
13,10001,1,23262.8,-281.698
14,10001,1,5119.17,134.547
15,10001,1,46253.8,199.515
16,10001,-1,8830.62,-97.3236
17,10001,1,110991,244.103
18,10001,1,5124.12,-171.2
19,10001,-1,24669.1,173.501
20,10001,-1,22624.2,-191.886
21,10001,1,12245.1,267.76
22,10001,-1,9263.18,169.177
23,10001,-1,13093,-287.616
24,10001,1,119600,279.334
25,10001,1,5054.53,-265.429
26,10001,-1,27049.4,260.169
27,10001,-1,6415.28,10.3473
28,10001,-1,6910.02,1.02952
29,10001,-1,7333.64,-60.6694
30,10001,-1,23281.9,-165.51
31,10001,-1,7539.99,-215.143
32,10001,1,8692.9,86.1572
33,10001,-1,7150.61,84.4163
34,10001,-1,5015.24,-196.131
35,10001,1,12205.6,192.019
36,10001,1,6011.79,15.6745
37,10001,1,27221.8,29.5485
38,10001,-1,6318.79,-68.8031
39,10001,-1,12058.7,200.614
40,10001,-1,6584.02,-144.147
41,10001,-1,5057.27,-166.945
42,10001,1,7981.46,-249.569
43,10001,1,38988.4,-61.7139
44,10001,1,6695.62,-288.549
45,10001,-1,5265.94,65.0462
46,10001,-1,11808,-233.498
47,10001,-1,7858.71,257.882
48,10001,-1,9785.85,-265.45
49,10001,-1,10364,-221.741
50,10001,1,204096,-197.609
51,10001,1,6391.68,258.045
52,10001,1,5129.04,145.235
53,10001,1,5246.74,46.3384
54,10001,-1,6043.25,-120.681
55,10001,-1,7581.3,-6.72705
56,10001,-1,7734.76,-53.8321
57,10001,1,5566.11,24.6335
58,10001,-1,5306.21,215.069
59,10001,-1,10201.6,-205.857
60,10001,-1,8625.46,-33.8736
61,10001,-1,27939.7,-233.743
62,10001,-1,8661.85,119.834
63,10001,-1,11880.6,-65.9344
64,10001,1,21605.5,39.7673
65,10001,-1,6132.96,72.9212
66,10001,1,10895.7,-259.066
67,10001,-1,9050.44,-71.8794
68,10001,1,7064.75,79.695
69,10001,-1,8120.69,157.485
70,10001,-1,15245.4,-107.449
71,10001,-1,16586.1,197.268
72,10001,1,49094.5,76.9762
73,10001,1,10017.4,267.893
74,10001,1,21010.8,95.5105
75,10001,1,11564.7,-12.4594
76,10001,-1,8044.42,-218.455
77,10001,-1,6987.39,-210.317
78,10001,-1,6721.77,-53.7949
79,10001,1,17179.1,250.148
80,10001,-1,9026.58,164.587
81,10001,-1,11306.6,-206.442
82,10001,-1,51904.1,-12.1662
83,10001,-1,52288,84.4185
84,10001,-1,14202.9,32.1804
85,10001,1,6590.69,246.262
86,10001,1,76644.7,-267.562
87,10001,1,16157.8,-273.154
88,10001,-1,5536.96,-138.303
89,10001,-1,5523.62,-236.881
90,10001,1,5377.75,-207.624
91,10001,1,7544.32,-188.496
92,10001,1,8467.49,156.496
93,10001,-1,30643.7,-33.9845
94,10001,1,22108.7,35.8209
95,10001,-1,15416.6,-277.775
96,10001,-1,5054.89,-0.555122
97,10001,1,11364.3,-247.73
98,10001,-1,14193.9,129.751
99,10001,-1,7344.28,-8.61951
100,10001,-1,13988.5,103.242
101,10001,-1,12318.2,-125.789
102,10001,1,48312.4,185.388
103,10001,-1,29186.1,217.027
104,10001,-1,7829.8,116.926
105,10001,1,30267.2,227.203
106,10001,-1,16196.7,258.35
107,10001,-1,17239.4,157.777
108,10001,1,7200.4,124.659
109,10001,1,23457.7,60.9129
110,10001,1,19016.9,44.7095
111,10001,1,6280.44,117.848
112,10001,-1,16594.4,13.5359
113,10001,1,7357.33,-96.6085
114,10001,1,6110.79,-134.332
115,10001,1,15607,80.59
116,10001,1,13945.3,195.682
117,10001,-1,13109.9,-69.8445
118,10001,-1,20243.2,-150.294
119,10001,1,8216.6,-73.8023
120,10001,-1,8586.99,-153.843
121,10001,1,5560.75,251.539
122,10001,-1,11931.5,-120.998
123,10001,-1,216062,64.5993
124,10001,1,97568.6,163.789
125,10001,1,6559.62,-89.6389
126,10001,-1,9350.3,-193.29
127,10001,-1,6175.24,236.055
128,10001,1,21466.3,163.577
129,10001,1,7525.21,-237.735
130,10001,1,12354.8,162.038
131,10001,1,9750.68,84.2825
132,10001,-1,5972.15,1.32375
133,10001,1,6629.97,115.293
134,10001,-1,6110.01,-18.4902
135,10001,-1,21154.2,164.205
136,10001,-1,193848,-56.3698
137,10001,1,11032.3,133.162
138,10001,1,16613.9,251.653
139,10001,1,68388.6,-280.017
140,10001,-1,6692.34,-291.041
141,10001,-1,27325.5,-19.7566
142,10001,-1,49223.2,-264.684
143,10001,-1,10073.1,-84.5465
144,10001,-1,5448.45,-26.0094
145,10001,1,33086.6,234.498
146,10001,1,6383.64,-8.95314
147,10001,-1,60679.8,220.593
148,10001,-1,19533.9,-139.701
149,10001,-1,5310.34,11.754
150,10001,-1,7312.87,179.469
151,10001,1,11622,50.3065
152,10001,-1,20407.9,212.755
153,10001,1,11418.1,94.4298
154,10001,-1,11197.2,-140.282
155,10001,-1,21565,175.209
156,10001,1,47858.8,-132.275
157,10001,1,6733.51,249.784
158,10001,1,9547.14,73.6246
159,10001,1,5966.04,-57.4998
160,10001,1,13653.1,198.604
161,10001,1,8264.51,-76.2644
162,10001,1,41675.3,280.433
163,10001,1,139138,-284.222
164,10001,-1,5515.53,185.968
165,10001,-1,5959.34,-242.45
166,10001,-1,106430,192.643
167,10001,1,5932.11,272.802
168,10001,-1,11995.2,-152.416
169,10001,1,14804.5,164.374
170,10001,-1,5106.42,-152.571
171,10001,-1,5371.71,158.492
172,10001,-1,7159.04,49.1643
173,10001,-1,5441.19,249.454
174,10001,-1,82214.3,-22.2095
175,10001,1,21840.3,149.454
176,10001,-1,5737.95,-4.86236
177,10001,-1,256389,-110.454
178,10001,-1,20892.1,-211.187
179,10001,1,5528.99,31.5453
180,10001,-1,9605.36,202.459
181,10001,1,20821.7,-68.2376
182,10001,-1,6138.25,17.4916
183,10001,-1,9543.46,135.355
184,10001,-1,21386.2,-294.141
185,10001,-1,14235.7,-30.1924
186,10001,1,37216.9,20.1269
187,10001,-1,6794.87,68.9341
188,10001,-1,6317.76,61.3888
189,10001,-1,10059,-126.328
190,10001,1,11793.3,-136.925
191,10001,1,12951,-106.779
192,10001,-1,20649.9,223.54
