event,barcode,charge,pt,d0,phi
0,10001,1,1756.99,-1.47666,0.351127
1,10001,-1,47410.7,-0.711554,0.325168
2,10001,-1,1542.27,-1.19336,0.385751
3,10001,-1,14494,1.05628,0.447607
4,10001,1,3045.44,-0.413305,0.334819
5,10001,-1,1383.5,-0.889453,0.444056
6,10001,-1,1505.79,0.0636023,0.485824
7,10001,-1,6898.29,-1.70589,0.308221
8,10001,-1,6793.74,-1.00613,0.408815
9,10001,-1,348665,1.77466,0.433539
10,10001,1,6721.11,0.202971,0.332242
11,10001,1,39348,0.246225,0.371904
12,10001,1,1252.35,-0.315362,0.464939
13,10001,1,4138.64,1.3289,0.393181
14,10001,-1,3045.5,1.64153,0.337392
15,10001,-1,1516.23,1.48928,0.319404
16,10001,-1,5168.88,1.74627,0.470492
17,10001,1,1081.6,-1.25692,0.436426
18,10001,1,5608.36,0.930084,0.323047
19,10001,-1,1089.61,-1.4994,0.451696
20,10001,-1,1000.71,1.5379,0.474624
21,10001,-1,1497.45,-0.947772,0.409013
22,10001,1,4001.23,1.56801,0.451351
23,10001,1,3404.34,1.95476,0.48198
24,10001,1,2062.07,1.18812,0.447241
25,10001,1,5659.14,-0.840378,0.323795
26,10001,-1,1187.19,1.73409,0.307719
27,10001,-1,10086.5,1.51853,0.319922
28,10001,1,3472.67,0.146836,0.434693
29,10001,1,1165.76,1.25291,0.343579
30,10001,1,1904.16,1.4121,0.362142
31,10001,-1,1225.06,0.933115,0.457377
32,10001,1,3404.41,-0.567316,0.467146
33,10001,1,1924.11,-1.39772,0.370006
34,10001,1,1173.12,1.97939,0.400457
35,10001,1,1267.14,1.24641,0.430431
36,10001,1,1248.54,1.39558,0.407589
37,10001,-1,2722.27,-1.29539,0.324841
38,10001,-1,7328.52,-0.302574,0.482274
39,10001,1,1690.16,-1.97797,0.311578
40,10001,-1,20885.2,-0.508329,0.358036
41,10001,1,2043.58,-1.38002,0.428549
42,10001,-1,1637.73,0.25832,0.363489
43,10001,-1,30609.3,-1.55309,0.361389
44,10001,1,1025.54,-0.323232,0.462056
45,10001,-1,1105,0.0577227,0.387243
46,10001,1,2438.77,-0.797812,0.433633
47,10001,-1,8250.39,0.713864,0.336554
48,10001,-1,1209.75,-1.0901,0.312315
49,10001,-1,619154,-0.920039,0.455835
50,10001,-1,1258.27,-1.91085,0.33075
51,10001,1,2343.53,0.761289,0.386283
52,10001,1,8021.4,0.553144,0.414403
53,10001,-1,1041.76,-0.0669518,0.343301
54,10001,-1,1542.8,-0.644817,0.402473
55,10001,-1,2807.14,1.37295,0.31018
56,10001,-1,1101.5,-1.40348,0.4809
57,10001,1,1387.42,-1.96029,0.392826
58,10001,-1,41505.6,-0.128034,0.327967
59,10001,1,1122.73,0.326045,0.31828
60,10001,1,3809.67,-1.97519,0.392204
61,10001,-1,6231.56,1.19852,0.387351
62,10001,1,4295.56,-0.754223,0.334954
63,10001,1,4256.27,0.0418704,0.393882
64,10001,1,1033.17,0.464386,0.343677
65,10001,1,59063.2,-0.683256,0.356554
66,10001,1,1382.73,1.03903,0.44869
67,10001,1,2583.43,-1.8448,0.382743
68,10001,-1,1257.5,1.02869,0.392709
69,10001,-1,13362,1.6654,0.372315
70,10001,1,5515.93,-1.98363,0.431557
71,10001,1,1740.37,-1.08746,0.447721
72,10001,-1,3530.01,0.514958,0.478982
73,10001,-1,2775.74,1.42861,0.472644
74,10001,-1,1384.74,1.64558,0.494452
75,10001,-1,1522.71,-0.330785,0.303074
76,10001,1,7598.73,-1.12543,0.472935
77,10001,-1,3530.13,1.44345,0.410131
78,10001,-1,2699.67,0.401007,0.337178
79,10001,1,1707.2,-0.0534143,0.412918
80,10001,-1,1185.14,-1.36148,0.408764
81,10001,1,1853.25,-1.67105,0.371669
82,10001,1,1738.41,1.35987,0.372811
83,10001,1,1765.39,-1.46146,0.443515
84,10001,1,4232.29,1.58734,0.427953
85,10001,1,2147.16,-1.73851,0.314689
86,10001,1,1680.81,0.691664,0.356774
87,10001,1,2962.56,-1.53118,0.389421
88,10001,-1,1758.64,-1.00567,0.31331
89,10001,-1,1868.3,1.14621,0.346379
90,10001,-1,2433,-1.11444,0.345745
91,10001,-1,1153.04,1.54717,0.311254
92,10001,-1,1242.94,-0.561864,0.454914
93,10001,1,1146.62,0.278967,0.381807
94,10001,-1,1169.08,-1.981,0.332612
95,10001,1,2543.09,-0.314447,0.440047
96,10001,1,2232.89,-0.873658,0.351584
97,10001,1,1159.17,-0.953494,0.470389
98,10001,-1,6251.3,1.78847,0.438998
99,10001,-1,1757.69,-1.71455,0.330731
100,10001,-1,1179.84,-0.132633,0.406259
101,10001,-1,2801.73,-0.349419,0.486365
102,10001,-1,8836.63,-0.472317,0.441153
103,10001,1,1687.45,-0.286783,0.484044
104,10001,1,595989,0.232375,0.460416
105,10001,1,6887.18,1.75432,0.361212
106,10001,-1,1410.19,-0.935266,0.337469
107,10001,-1,1255.69,0.377251,0.389544
108,10001,1,2314.75,-1.73599,0.400699
109,10001,-1,2524.6,1.19052,0.418209
110,10001,-1,1476.64,1.73946,0.414395
111,10001,-1,1650.72,0.826012,0.414712
112,10001,1,2231.35,0.297021,0.441289
113,10001,1,3659.93,1.31944,0.497815
114,10001,1,4545.42,-1.55406,0.423896
115,10001,1,1368.72,1.50394,0.38982
116,10001,-1,19098,1.91682,0.339303
117,10001,1,1339.99,1.27829,0.364289
118,10001,-1,6030.58,0.697813,0.499999
119,10001,-1,6162.97,1.239,0.339861
120,10001,-1,1104.32,-0.115105,0.419978
121,10001,1,1422.46,1.12033,0.354897
122,10001,-1,1387.48,0.0917888,0.393154
123,10001,1,5354.65,1.97089,0.481858
124,10001,-1,2477.51,-1.41211,0.394706
125,10001,1,2935.69,0.192095,0.405421
126,10001,1,1267.56,1.7698,0.388448
127,10001,-1,1130.02,-0.160154,0.323106
128,10001,-1,1011.06,1.96489,0.483232
129,10001,-1,1030.44,-1.16711,0.401343
130,10001,-1,8328.66,1.5914,0.478354
131,10001,1,3331.59,0.601621,0.338215
132,10001,1,1860.18,-1.31298,0.425132
133,10001,1,5625.42,1.85415,0.456358
134,10001,1,6047.73,1.53075,0.3553
135,10001,1,1203.38,-1.37291,0.496894
136,10001,1,9738.5,1.7243,0.496155
137,10001,-1,1986.98,0.444378,0.358173
138,10001,1,1009.43,-1.03128,0.397224
139,10001,-1,1630.49,1.19942,0.359006
140,10001,-1,2178.26,-0.410864,0.493154
141,10001,1,1092,-0.183194,0.350224
142,10001,1,1683.43,1.66749,0.436298
143,10001,1,1835.81,1.67369,0.436282
144,10001,-1,1042.62,1.67779,0.489718
145,10001,1,1315.99,1.86247,0.310662
146,10001,1,1506.17,-0.582692,0.467481
147,10001,1,1279.86,1.05918,0.390378
148,10001,-1,1484.13,1.5377,0.412551
149,10001,-1,1418.46,-0.781696,0.39399
150,10001,-1,1239.13,0.760229,0.363444
151,10001,1,1558.3,-0.142069,0.38336
152,10001,1,1627.05,-0.374839,0.374261
153,10001,-1,1100.09,1.09766,0.466373
154,10001,1,52390.5,0.610884,0.366184
155,10001,1,4316.77,-0.4615,0.490823
156,10001,1,1829.42,-1.75513,0.492095
157,10001,1,1022.57,-1.92051,0.494815
158,10001,-1,1608.66,1.59259,0.311675
159,10001,-1,1234.24,1.97842,0.362406
160,10001,1,14161.7,-0.927047,0.409631
161,10001,-1,1132.06,-0.0664652,0.390691
162,10001,1,1644.34,-0.278762,0.362249
163,10001,-1,5102.87,-1.97226,0.397309
164,10001,1,2004.22,-1.72832,0.440164
165,10001,-1,1877.73,-1.92181,0.492036
166,10001,-1,1598.06,0.98935,0.321744
167,10001,1,1781.15,0.846082,0.489637
168,10001,-1,2150.13,-0.667811,0.456647
169,10001,1,1020.45,1.39708,0.443715
170,10001,1,1664.64,1.56063,0.472356
171,10001,1,2321.9,-0.370793,0.336952
172,10001,1,1834.22,-1.14738,0.3266
173,10001,-1,54193.1,0.94755,0.436149
174,10001,1,31878.2,-0.265423,0.461823
175,10001,1,1297.59,-1.31454,0.434346
176,10001,1,1012.59,-1.7346,0.30642
177,10001,-1,20078.8,-0.622492,0.301072
178,10001,-1,1550.83,-1.57321,0.464679
179,10001,-1,6233.5,-1.99889,0.461014
180,10001,1,28779.8,0.140556,0.430432
181,10001,1,12243.9,0.690421,0.473138
182,10001,1,6256.08,1.32106,0.367882
183,10001,-1,3787.58,1.03104,0.381393
184,10001,-1,1532.64,-1.13399,0.316191
185,10001,-1,1077.86,1.2058,0.394436
186,10001,1,2063.69,1.67339,0.449822
187,10001,-1,1326.12,0.51917,0.399294
188,10001,-1,59921.6,0.605354,0.374017
189,10001,-1,1675.54,-1.00335,0.378788
190,10001,1,1447.88,-0.327283,0.425398
191,10001,-1,1444.44,1.6579,0.361679
192,10001,-1,1228.62,0.870425,0.380062
193,10001,-1,2531.06,-1.9045,0.368245
194,10001,-1,1233.04,-0.432834,0.434851
195,10001,1,1040.61,0.067743,0.346682
196,10001,1,1268.24,1.06454,0.410978
197,10001,1,1635.54,1.88913,0.40632
198,10001,1,1624.18,0.0710273,0.487417
199,10001,-1,1006.07,-0.0722226,0.446361
200,10001,1,1352.51,1.06934,0.483416
201,10001,1,3402.24,0.958891,0.361612
202,10001,1,1087.8,1.20276,0.458378
203,10001,1,2116.15,-0.23192,0.482101
204,10001,-1,1249.16,0.0947412,0.359639
205,10001,-1,8461.8,0.764967,0.333765
206,10001,1,3984.63,1.73025,0.367413
207,10001,-1,1039.14,-1.22334,0.425625
208,10001,-1,3325.85,-0.638515,0.438984
209,10001,-1,1372.95,0.259397,0.447883
210,10001,1,1231.48,-0.314219,0.318269
211,10001,-1,1123.34,1.75941,0.348991
212,10001,-1,1910.37,-0.85667,0.464413
213,10001,-1,1755.36,-0.673056,0.317449
214,10001,1,6080.75,0.85936,0.34672
215,10001,-1,1002.73,-0.555242,0.415957
216,10001,-1,2570.84,0.430409,0.347013
217,10001,-1,50381.1,-1.82845,0.469032
218,10001,1,8927.79,-1.05512,0.392558
219,10001,1,1236.47,-0.847326,0.411146
220,10001,1,4360.74,0.593554,0.372279
221,10001,1,1316.11,-0.696663,0.337573
222,10001,1,1274.44,0.665846,0.335014
223,10001,1,11462,0.315881,0.395722
224,10001,1,1649.21,-1.09295,0.317577
225,10001,1,2065.67,-1.89521,0.32149
226,10001,1,2131.34,-1.67408,0.465011
227,10001,-1,7871.59,-0.439125,0.352352
228,10001,1,12497.3,1.43638,0.301412
229,10001,1,1561.17,-1.8398,0.412746
230,10001,1,2801,-0.402541,0.345617
231,10001,-1,3814.45,-1.31127,0.322419
232,10001,1,3023.34,1.37915,0.468868
233,10001,1,1629.57,-1.1877,0.345948
234,10001,1,115169,-1.1491,0.416114
235,10001,-1,1239.11,1.04167,0.321303
236,10001,1,1494.14,1.38525,0.477162
237,10001,1,1166.37,0.434442,0.487212
238,10001,-1,2567.25,0.142006,0.475133
239,10001,-1,1468.7,0.131481,0.368661
240,10001,-1,1017.88,0.939609,0.319766
241,10001,1,3200.5,-1.00978,0.443225
242,10001,1,7470.6,-1.19427,0.43626
243,10001,1,2695.55,1.6968,0.35653
244,10001,1,1147.99,-0.273591,0.415321
245,10001,1,1207.21,-1.06444,0.346535
246,10001,-1,6665.35,-0.0533604,0.499142
247,10001,1,2337.48,1.51084,0.358124
248,10001,-1,2601.77,-1.84327,0.351478
249,10001,-1,2023.71,-0.882828,0.482395
250,10001,1,2166.95,-0.398221,0.349259
251,10001,1,1266.25,1.16578,0.497875
252,10001,-1,5180.83,1.43453,0.442445
253,10001,1,1392.89,-0.0933284,0.453475
254,10001,1,2448.52,1.74962,0.374436
255,10001,1,3195.84,-1.88341,0.45698
256,10001,1,1071.15,1.28866,0.430018
257,10001,1,3491.53,1.77893,0.417154
258,10001,-1,3875.18,0.573099,0.362515
259,10001,1,2770.21,0.278874,0.435191
260,10001,1,16331.8,-1.91975,0.495609
261,10001,-1,3331.6,-0.747126,0.307313
262,10001,1,74436.9,-0.811837,0.34936
263,10001,1,2263.38,-0.677934,0.486525
264,10001,1,1735.14,-1.40562,0.351751
265,10001,1,1927.38,0.908066,0.46595
266,10001,1,1122.29,-0.386419,0.321527
267,10001,-1,1073.71,0.676229,0.363683
268,10001,-1,1534.55,-1.03246,0.497256
269,10001,1,2841.06,0.641497,0.419838
270,10001,-1,4071.1,1.43172,0.348594
271,10001,1,1721.27,1.35012,0.490764
272,10001,-1,4561.83,-0.198547,0.30177
273,10001,-1,2194.16,-0.0962464,0.30617
274,10001,1,3643.72,-1.15345,0.312338
275,10001,1,1745.08,0.83473,0.386096
276,10001,-1,2941.57,-1.40697,0.469653
277,10001,1,2964.98,-0.468123,0.46719
278,10001,-1,1883.32,-0.614234,0.496229
279,10001,1,1204.73,1.19709,0.323594
280,10001,-1,1554.59,0.670391,0.435451
281,10001,-1,1621.61,0.324546,0.387678
282,10001,1,8068.41,-0.672579,0.406383
283,10001,-1,1535.24,-1.73953,0.424415
284,10001,-1,1845.83,0.382895,0.32027
285,10001,-1,1289.52,0.50974,0.386353
286,10001,-1,1383.43,1.37739,0.328138
287,10001,1,1591.28,-1.92757,0.332703
288,10001,-1,1619.59,0.0156675,0.307079
289,10001,1,1859.7,-0.816037,0.49705
290,10001,1,5997.38,-0.580888,0.359651
291,10001,-1,2575.69,-1.14305,0.481267
292,10001,1,16259.6,-0.360353,0.327968
293,10001,1,7664.61,-1.26462,0.497908
294,10001,-1,2170.34,0.192261,0.317327
295,10001,-1,1108.36,-1.65472,0.376747
296,10001,-1,2589.24,-0.983286,0.369357
297,10001,1,1190.82,0.959918,0.414554
298,10001,1,1082.19,0.134949,0.405142
299,10001,1,3616.98,-0.4478,0.340415
300,10001,1,13728.9,0.645587,0.399699
301,10001,-1,1573.07,-0.642917,0.32297
302,10001,1,1090.73,-1.29532,0.415131
303,10001,1,1950.43,0.0614791,0.33807
304,10001,1,1133.81,-1.43013,0.382375
305,10001,1,1768.92,1.1225,0.407677
306,10001,1,1086.43,-0.692594,0.48384
307,10001,-1,1839.57,1.86941,0.316487
308,10001,1,1026.59,-1.38834,0.360492
309,10001,-1,1640.74,0.558255,0.34691
310,10001,1,2001.45,-0.422071,0.386967
311,10001,1,2815.78,1.80058,0.322295
312,10001,-1,1282.15,-0.213212,0.467325
313,10001,-1,31771.6,-1.31219,0.341592
314,10001,-1,4164.7,-1.50643,0.324932
315,10001,-1,1014.74,-1.74628,0.307577
316,10001,-1,15350.5,1.33194,0.480252
317,10001,1,6660.77,1.46292,0.349922
318,10001,1,3593.17,-1.91452,0.404792
319,10001,-1,2352.65,1.62889,0.351762
320,10001,-1,7031.07,1.31857,0.468519
321,10001,1,3312.32,-1.3718,0.336721
322,10001,-1,1268.61,0.222969,0.488375
323,10001,1,3472.74,-0.317084,0.338996
324,10001,-1,1016.9,1.82241,0.356896
325,10001,-1,1128.6,-1.27189,0.496471
326,10001,1,1255.6,-0.621153,0.456286
327,10001,1,1009.21,-1.35394,0.337348
328,10001,1,7014.42,1.03561,0.361923
329,10001,1,1107.53,-1.64665,0.430666
330,10001,1,1131.96,0.973879,0.302153
331,10001,1,1809.91,-1.574,0.322634
332,10001,1,2153.03,-1.17217,0.386014
333,10001,-1,1100.87,-0.4396,0.384405
334,10001,-1,1185.85,0.479151,0.475852
335,10001,-1,46645.6,-0.570964,0.379544
336,10001,1,8402.75,1.52288,0.383289
337,10001,-1,1878.88,1.05343,0.343095
338,10001,1,71048.8,-0.97246,0.464742
339,10001,1,3517.48,0.366145,0.456839
340,10001,-1,2095.89,1.66439,0.33958
341,10001,-1,1039.06,-1.14337,0.433529
342,10001,1,1291.13,-1.52573,0.367544
343,10001,1,11652.5,0.0101262,0.378301
344,10001,1,2232.9,-0.300767,0.304323
345,10001,1,2200.07,-1.32779,0.33152
346,10001,1,2180.15,-0.899398,0.364635
347,10001,-1,1760.74,0.478089,0.334346
348,10001,-1,1682.35,0.374604,0.49191
349,10001,-1,1268.41,-1.93069,0.373199
350,10001,1,3961.23,-0.689082,0.308444
351,10001,-1,2535.56,1.16487,0.405989
352,10001,1,1437.28,0.906502,0.388737
353,10001,-1,1023.59,-1.5074,0.32052
354,10001,-1,1051.93,1.63453,0.391569
355,10001,-1,1679.97,0.182281,0.352584
356,10001,1,4846.58,-1.76941,0.496698
357,10001,1,8244.28,0.774715,0.313935
358,10001,-1,1052.29,0.365466,0.452549
359,10001,-1,1434.26,-1.99001,0.407391
360,10001,-1,6247.12,-1.61588,0.405731
361,10001,-1,1828.03,1.45649,0.469415
362,10001,-1,4900.45,0.194124,0.416378
363,10001,-1,1022.66,0.398383,0.318915
364,10001,1,190109,-0.250694,0.308094
365,10001,1,14990.8,-1.74598,0.48585
366,10001,1,1379.28,-0.137221,0.423645
367,10001,-1,167521,0.639454,0.354855
368,10001,-1,1015.63,-0.656867,0.360308
369,10001,1,1229.42,1.00744,0.488541
370,10001,1,2159.03,0.558555,0.485832
371,10001,1,2890.79,0.346732,0.431763
372,10001,-1,13076.6,-1.3954,0.405981
373,10001,-1,12841.9,-0.255575,0.358488
374,10001,-1,25645,-0.181788,0.315137
375,10001,1,1693.98,-0.924594,0.333333
376,10001,1,12220.3,-1.17292,0.322791
377,10001,1,1042.92,-1.11164,0.371696
378,10001,-1,1191.5,-0.455168,0.337044
379,10001,1,5720.41,-1.48753,0.45191
380,10001,-1,2269.32,-1.31783,0.383006
381,10001,-1,1596.32,1.22723,0.391374
382,10001,1,41571.8,0.0711302,0.336489
383,10001,1,2556.92,1.61562,0.434922
384,10001,-1,1235.13,-0.789351,0.457792
385,10001,-1,1149.89,-0.574567,0.326113
386,10001,-1,1836.39,-1.98641,0.485992
387,10001,1,3166.5,-1.11593,0.442675
388,10001,1,2443.29,-0.275157,0.433325
389,10001,-1,2728.38,0.321453,0.348206
390,10001,1,1099,0.390547,0.388639
391,10001,1,15306.7,-1.02253,0.411248
392,10001,1,4807.23,-0.153238,0.431248
393,10001,-1,1746.97,1.68209,0.305154
394,10001,-1,1869.88,-1.92971,0.402283
395,10001,1,1523.07,-1.82493,0.458593
396,10001,1,1035.98,0.627034,0.496111
397,10001,1,1738.42,-0.16752,0.381642
398,10001,-1,1204.55,0.133877,0.488424
399,10001,-1,2096.97,1.66559,0.477704
400,10001,1,1343.2,-0.497324,0.3339
401,10001,1,4142.56,1.96764,0.41015
402,10001,-1,2240.84,0.059038,0.404854
403,10001,-1,1997.93,-0.573364,0.442681
404,10001,1,7948.73,0.660495,0.498264
405,10001,-1,5755.5,-1.84578,0.417999
406,10001,1,1074.8,-0.343124,0.461121
407,10001,-1,3953.21,-0.484431,0.462247
408,10001,-1,3009.45,1.22111,0.301838
409,10001,1,1421.07,0.944356,0.302424
410,10001,1,1110.53,-0.107767,0.45321
411,10001,-1,18395.7,-0.698792,0.349005
412,10001,1,2024.69,0.608233,0.340263
413,10001,-1,6089.29,0.234395,0.444718
414,10001,1,2211.61,0.403595,0.325562
415,10001,1,19057.7,-1.97243,0.349241
416,10001,-1,1264.72,1.46828,0.308485
417,10001,1,1708.51,-1.75749,0.325952
418,10001,1,1728,-0.865767,0.482339
419,10001,1,2640.48,-0.491935,0.308849
420,10001,1,1323.8,1.00791,0.336822
421,10001,-1,1691.42,-1.26728,0.41833
422,10001,1,5310.17,0.936134,0.443856
423,10001,-1,3144.16,-0.00841619,0.37235
424,10001,1,13101.7,-1.08438,0.303559
425,10001,-1,1363.94,-0.747652,0.423834
426,10001,1,2816.89,1.69208,0.305838
427,10001,1,2466.45,-1.52651,0.384537
428,10001,-1,1045.41,-0.442767,0.420935
429,10001,1,29793.4,-1.94863,0.341594
430,10001,1,1016.07,1.88744,0.491862
431,10001,1,228027,1.72002,0.394976
432,10001,1,32356.6,1.38561,0.339667
433,10001,-1,23985.3,0.217703,0.394401
434,10001,1,1832.12,1.69546,0.414796
435,10001,1,2190.18,-1.29886,0.431146
436,10001,1,2499.41,0.715262,0.408628
437,10001,1,1421.88,-1.5412,0.337893
438,10001,1,1452.73,1.85456,0.376912
439,10001,-1,3785.73,1.86131,0.404527
440,10001,1,1233.43,-2.00015,0.370202
441,10001,1,4288.85,-1.69106,0.36968
442,10001,1,10184.7,0.849761,0.406449
443,10001,1,1674.96,-0.761238,0.483249
444,10001,-1,2044.7,0.884446,0.432327
445,10001,1,1015.12,-0.389192,0.360599
446,10001,-1,2845.01,-0.26539,0.35996
447,10001,1,1075.25,1.62144,0.393349
448,10001,1,9911.51,-0.986664,0.374745
449,10001,1,10122.1,0.552327,0.311449
450,10001,-1,1000.28,-1.38404,0.30413
451,10001,1,1347.18,-1.95426,0.321483
452,10001,-1,2968.14,-1.05224,0.32561
453,10001,1,2748.5,-1.35816,0.47352
454,10001,-1,1493.34,1.68002,0.389705
455,10001,1,1495.07,1.45743,0.404766
456,10001,1,1413.3,-1.55824,0.401735
457,10001,1,4272.66,-0.796386,0.488546
458,10001,1,10955.2,0.42976,0.433854
459,10001,1,3876.55,-0.549203,0.318443
460,10001,-1,19465.5,-0.07289,0.352117
461,10001,-1,1493.11,1.12769,0.489639
462,10001,1,4022.21,0.10118,0.332104
463,10001,1,1393.55,1.07643,0.333637
464,10001,1,1147.9,0.573031,0.348381
465,10001,1,1266.14,-0.991838,0.458401
466,10001,-1,5991.98,0.0488053,0.393832
467,10001,1,591752,0.388711,0.487087
468,10001,-1,1075.48,-1.77185,0.454276
469,10001,1,1696.95,0.355104,0.434595
470,10001,1,1701.18,1.13465,0.309504
471,10001,-1,17335.1,-1.28184,0.307256
472,10001,1,1838.33,1.06379,0.452587
473,10001,-1,2049.88,1.278,0.47564
474,10001,1,2465.17,0.184946,0.470767
475,10001,1,7487.61,0.163358,0.43154
476,10001,1,2071.67,0.830651,0.498221
477,10001,-1,1037.63,-0.167359,0.34171
478,10001,-1,4535.91,-0.94348,0.466892
479,10001,-1,1752.01,1.47604,0.374328
480,10001,-1,16525.1,-1.4272,0.485819
481,10001,1,1791.34,-1.47939,0.389489
482,10001,1,1675.93,-0.423638,0.301899
483,10001,-1,1646.09,1.06694,0.31346
484,10001,-1,7622.42,0.899659,0.486134
485,10001,-1,147058,-1.24365,0.452094
486,10001,-1,11686.2,-1.7948,0.386176
487,10001,1,1357.67,0.76709,0.418431
488,10001,-1,1197,1.0629,0.393388
489,10001,1,3112.99,0.689546,0.365149
490,10001,1,3856.67,-1.2644,0.300598
491,10001,-1,3690.89,1.6006,0.319989
492,10001,-1,1502.8,-0.401185,0.359243
493,10001,1,58546.3,-1.2811,0.400774
494,10001,-1,2719.78,0.0701693,0.415422
495,10001,-1,1311.63,1.51252,0.348838
496,10001,-1,16780.8,1.7155,0.389422
497,10001,1,1234.74,1.83813,0.459592
498,10001,-1,2218.94,-0.53205,0.482573
499,10001,1,3926.47,0.525525,0.494159
500,10001,1,17613.3,0.814523,0.306983
501,10001,-1,1809.87,-1.55242,0.393909
502,10001,1,1198.42,1.80227,0.434858
503,10001,1,1016.42,1.17845,0.427249
504,10001,1,2806.02,1.21018,0.42665
505,10001,1,8795.3,0.041294,0.334647
506,10001,1,2031.24,-0.158954,0.494987
507,10001,1,3955.51,1.75318,0.453369
508,10001,-1,9623.51,1.07091,0.426705
509,10001,1,1343.63,1.82589,0.327587
510,10001,-1,1114.33,0.581442,0.476555
511,10001,1,1019.9,0.534863,0.373783
512,10001,1,2912,0.194319,0.469781
513,10001,1,1308.48,-1.02736,0.474058
514,10001,1,3101.17,-0.592137,0.442007
515,10001,-1,16963.8,1.81372,0.366585
516,10001,-1,1240.59,-0.452093,0.447737
