event,barcode,charge,pt,d0,phi
0,10001,-1,2276.04,-0.655201,0.441331
1,10001,1,7500.88,-1.21642,0.379333
2,10001,-1,1229.35,-0.85885,0.470987
3,10001,1,2738.29,1.74332,0.48326
4,10001,1,2663.62,-0.205137,0.372495
5,10001,1,1464.37,-0.84519,0.486199
6,10001,1,2058.01,-0.993519,0.333088
7,10001,-1,2827.13,-1.8653,0.477097
8,10001,1,1837.35,1.85058,0.397486
9,10001,-1,1341.76,1.6291,0.438026
10,10001,-1,1610.93,0.418824,0.363396
11,10001,-1,1403.93,1.49195,0.429783
12,10001,-1,1035.1,1.66888,0.498099
13,10001,-1,1021.97,0.634081,0.457071
14,10001,1,3343.26,1.43458,0.472872
15,10001,-1,1153,-0.681828,0.345992
16,10001,1,3077.36,-1.63185,0.307999
17,10001,1,1248.87,0.978956,0.337375
18,10001,-1,8666.51,-0.537266,0.406465
19,10001,-1,1724.44,1.7255,0.352537
20,10001,1,1197.17,1.25795,0.391495
21,10001,-1,47167.2,1.09001,0.300462
22,10001,1,2260.74,0.965715,0.427034
23,10001,-1,1702.74,-0.600117,0.377904
24,10001,-1,3658.88,1.19546,0.491295
25,10001,1,2044.24,-0.524306,0.418144
26,10001,1,1331.13,-0.447035,0.336271
27,10001,-1,4265.21,0.451791,0.466687
28,10001,1,1016.32,0.706928,0.398481
29,10001,1,3061.57,0.787343,0.399438
30,10001,1,9030.64,-1.59717,0.357688
31,10001,-1,1833.08,-1.36502,0.43438
32,10001,-1,6009.51,-0.362941,0.347503
33,10001,-1,1023.08,-1.0633,0.491587
34,10001,-1,2291.34,0.339165,0.465143
35,10001,-1,1592.1,0.337287,0.49508
36,10001,1,1088.67,1.98711,0.45476
37,10001,-1,6698.35,0.421816,0.436187
38,10001,1,1149.04,-1.99007,0.412256
39,10001,-1,2553.55,-0.677699,0.383603
40,10001,1,2354.7,-0.837692,0.481712
41,10001,-1,3654.46,0.0654563,0.456959
42,10001,1,2474.99,1.57407,0.374872
43,10001,-1,1234.68,-0.785601,0.486215
44,10001,1,6214.98,0.910787,0.349962
45,10001,1,1079.03,-0.09553,0.330706
46,10001,-1,1025.75,1.97492,0.425021
47,10001,1,5914.54,-0.105158,0.31781
48,10001,1,1957.25,0.0814431,0.327438
49,10001,-1,1041.64,0.367734,0.447012
50,10001,-1,1339.44,0.909822,0.499894
51,10001,-1,3428.67,-0.603822,0.434207
52,10001,1,1398.45,-0.708141,0.321078
53,10001,1,1789.84,1.16429,0.442538
54,10001,-1,3412.07,0.0470612,0.342241
55,10001,1,1085.07,-0.920395,0.470385
56,10001,-1,2221.06,1.43564,0.373937
57,10001,1,1269.1,0.707195,0.348895
58,10001,-1,1643.73,1.50434,0.403112
59,10001,1,2636.73,-0.659833,0.435656
60,10001,1,2096.49,-1.34166,0.439
61,10001,1,1175.99,-1.7608,0.390529
62,10001,-1,18582,0.210373,0.393391
63,10001,1,2700.09,1.93965,0.468113
64,10001,-1,4204.86,-1.68092,0.31073
65,10001,-1,13239.9,-0.0757668,0.482913
66,10001,1,2184.15,-0.501706,0.456022
67,10001,1,3094.52,0.0934331,0.440364
68,10001,-1,1590.36,-0.291596,0.328377
69,10001,1,1687.81,-0.447336,0.462876
70,10001,-1,11129.5,1.84438,0.334428
71,10001,-1,1824.03,0.383153,0.385312
72,10001,1,8431.46,0.102662,0.455059
73,10001,1,3462.55,-0.804939,0.476927
74,10001,1,1100.57,1.09282,0.465687
75,10001,1,1146.07,1.64701,0.341693
76,10001,-1,1272.21,-0.30966,0.471572
77,10001,1,3118.59,0.317303,0.43505
78,10001,-1,1392.74,-0.831195,0.362614
79,10001,-1,1413.84,-0.884296,0.430374
80,10001,1,1037.95,-0.597685,0.458744
81,10001,-1,4769.14,1.69204,0.440629
82,10001,1,5277.24,-0.81144,0.477007
83,10001,-1,1200.9,-0.52841,0.475383
84,10001,-1,16190.3,1.53537,0.490587
85,10001,-1,1101.8,1.68968,0.346775
86,10001,-1,1210.67,0.187493,0.413416
87,10001,1,1378.08,-0.735255,0.40335
88,10001,1,1079.67,-0.0425872,0.451455
89,10001,1,1083.42,-0.657022,0.4299
90,10001,-1,2311.43,-0.741238,0.432768
91,10001,-1,2655.15,-0.780701,0.342716
92,10001,1,1418.79,0.695782,0.464995
93,10001,1,1331.67,-0.969067,0.362329
94,10001,1,129583,0.964891,0.33242
95,10001,-1,1377.14,-0.333325,0.410948
96,10001,1,1071.46,-0.143264,0.327111
97,10001,-1,1170.17,-0.158279,0.487144
98,10001,-1,1487.59,0.577563,0.432665
99,10001,1,193047,-1.86959,0.357319
100,10001,1,1131.94,-0.685412,0.362276
101,10001,1,2513.32,0.0775056,0.454938
102,10001,1,2310.2,0.969759,0.41011
103,10001,1,1341.82,-1.00416,0.410198
104,10001,-1,1241.89,0.224408,0.324792
105,10001,1,1781.41,-0.0315004,0.384074
106,10001,-1,2716.84,-0.921393,0.48993
107,10001,-1,3021.08,1.10881,0.497362
108,10001,1,7076.87,-0.0818681,0.444749
109,10001,-1,1564.39,-1.65159,0.359143
110,10001,1,2434.11,0.0245936,0.488894
111,10001,1,2629.38,1.50973,0.456065
112,10001,1,2753.47,0.48232,0.331298
113,10001,1,1095.61,-0.999508,0.395053
114,10001,1,22271.5,0.861827,0.391466
115,10001,-1,1117.09,-0.850718,0.461454
116,10001,1,1403.63,1.70111,0.328473
117,10001,-1,1046.39,-0.234064,0.447842
118,10001,-1,1378.3,-0.402623,0.418925
119,10001,1,2096.83,0.0917684,0.305158
120,10001,1,3876.15,0.594412,0.367298
121,10001,1,4496.79,-0.773015,0.482705
122,10001,-1,2206.37,-0.314124,0.476694
123,10001,-1,2302.12,-1.36726,0.465591
124,10001,-1,1457.71,-1.2008,0.405363
125,10001,-1,1138.29,-1.83895,0.437094
126,10001,1,42897,-1.92725,0.371736
127,10001,-1,1268.36,-1.53449,0.41669
128,10001,-1,2619.7,1.63267,0.382158
129,10001,-1,4837.25,-0.031464,0.418232
130,10001,-1,1984.7,-1.77853,0.493901
131,10001,1,2924.87,0.245255,0.485433
132,10001,1,2737.23,-1.76422,0.317581
133,10001,1,1689.6,-0.116164,0.421094
134,10001,-1,5398.5,1.01992,0.470787
135,10001,-1,1471.93,-1.60087,0.462409
136,10001,-1,3807.14,-1.38918,0.318766
137,10001,1,1264.18,1.94639,0.340074
138,10001,-1,2921.4,0.106585,0.444578
139,10001,-1,2947.77,-1.48199,0.319053
140,10001,-1,7608.82,0.649485,0.478759
141,10001,-1,1122.62,0.35956,0.364916
142,10001,-1,2458.39,0.841984,0.30414
143,10001,1,1799.56,0.523236,0.332969
144,10001,1,7022.96,1.34044,0.42647
145,10001,1,2176.37,1.45913,0.352075
146,10001,-1,1407.42,-1.31139,0.441401
147,10001,-1,2143.01,-1.63971,0.399761
148,10001,-1,10652.4,0.659324,0.491097
149,10001,-1,9626.32,-0.785163,0.388453
150,10001,-1,3850.52,1.63939,0.362357
151,10001,-1,2952.01,0.307721,0.426872
152,10001,-1,3330.6,0.817238,0.42715
153,10001,1,8352.97,-0.416077,0.306544
154,10001,-1,3421.81,0.437395,0.331159
155,10001,1,3714.55,0.0849248,0.450742
156,10001,1,4454.01,1.11964,0.308268
157,10001,1,2129.32,-1.76095,0.450113
158,10001,-1,1203.74,1.23263,0.35394
159,10001,-1,2936.02,-1.16464,0.351894
160,10001,1,2481.15,-1.68991,0.467527
161,10001,-1,2447.03,0.0903439,0.415196
162,10001,-1,1268.39,-0.0452663,0.352826
163,10001,1,1306.62,0.586307,0.3873
164,10001,-1,1149.68,1.10663,0.325416
165,10001,-1,1020.14,1.16578,0.367501
166,10001,1,1662.76,0.102402,0.488447
167,10001,1,7420.66,-1.30838,0.471893
168,10001,1,5304.07,-0.340707,0.438664
169,10001,-1,1076.83,-0.154582,0.353098
170,10001,1,1578.74,1.80588,0.311421
171,10001,1,5386.62,1.84665,0.330597
172,10001,1,1430.65,-0.879425,0.330323
173,10001,-1,7782.04,1.71746,0.351761
174,10001,1,86365.9,1.52086,0.399003
175,10001,1,4353.36,0.147614,0.445743
176,10001,1,1288.49,-1.243,0.327053
177,10001,1,6949.72,-1.63004,0.483103
178,10001,1,5077.4,0.611077,0.489398
179,10001,-1,1034.15,0.731758,0.409663
180,10001,1,63096.4,-0.303703,0.365821
181,10001,-1,1224.52,0.610993,0.413879
182,10001,-1,1145.38,0.385111,0.430906
183,10001,-1,3072.76,0.960255,0.44839
184,10001,-1,1966.22,-1.69656,0.414111
185,10001,1,78378.7,1.30468,0.476575
186,10001,-1,1851.07,1.01291,0.408091
187,10001,1,1287.75,0.438109,0.459388
188,10001,-1,6144.9,-0.825141,0.338607
189,10001,1,1942.39,1.54439,0.459085
190,10001,-1,29630.6,0.261723,0.499472
191,10001,-1,3318.48,-0.100297,0.330017
192,10001,-1,1151.24,1.01324,0.304914
193,10001,1,1549.28,-1.92093,0.445084
194,10001,1,5415.05,1.32656,0.473901
195,10001,1,3332.32,-1.47827,0.327365
196,10001,-1,2339.67,1.01575,0.413477
197,10001,-1,2338.47,-0.0362659,0.496656
198,10001,-1,1758.18,-1.39265,0.478942
199,10001,1,19018.7,0.377789,0.323977
